date,open,high,low,close
1516374000000,122.0,123.25,121.0,123.25
1516375800000,123.25,124.9997,121.9999,124.7
1516377600000,124.7,125.0,123.5001,123.84
1516379400000,123.8003,125.5,123.8003,124.4
1516381200000,124.02,124.4495,121.3,121.3
1516383000000,121.3,122.558,120.5001,121.3
1516384800000,121.2,122.61,120.1,120.1008
1516386600000,120.1,122.15,119.1112,121.0003
1516388400000,121.0002,121.9878,120.0,120.05
1516390200000,120.0221,120.97,119.4,120.89
1516392000000,120.97,121.0,120.12,121.0
1516393800000,120.9002,123.0,120.5103,122.5998
1516395600000,122.65,123.0,121.0,122.25
1516397400000,122.958,123.34,122.0003,122.25
1516399200000,122.15,122.47,121.0122,121.96
1516401000000,122.03,122.3999,121.111,121.31
1516402800000,121.3024,122.33,121.1112,121.89
1516404600000,122.1,122.8,121.6,122.64
1516406400000,122.8,123.9888,122.4601,123.9888
1516408200000,123.9478,125.102,123.5,125.1
1516410000000,125.3,126.7,124.4701,126.4999
1516411800000,126.49,126.49,124.8004,126.0
1516413600000,126.01,126.388,125.0,125.7
1516415400000,125.6019,125.69,124.715,124.9998
1516417200000,125.0,126.44,124.9003,125.8
1516419000000,126.0,126.25,125.2,125.3
1516420800000,125.22,125.3,124.0,124.4997
1516422600000,124.4997,125.12,123.11,124.01
1516424400000,124.01,124.56,122.312,123.3
1516426200000,123.0003,125.4799,123.0003,125.1501
1516428000000,125.1501,125.51,124.0,125.0
1516429800000,125.0,125.5,124.5165,124.9993
1516431600000,124.9993,125.87,124.55,125.0
1516433400000,125.0002,125.4999,124.7,125.4
1516435200000,125.3,126.8,125.001,126.62
1516437000000,126.61,129.3885,126.5001,129.2951
1516438800000,129.3885,129.5,126.2,126.7
1516440600000,126.6,128.3,126.35,126.5436
1516442400000,126.7,127.5,125.12,127.0035
1516444200000,127.3,127.5999,126.321,127.45
1516446000000,127.4997,128.9,127.0,128.4999
1516447800000,128.4999,128.885,126.9,127.02
1516449600000,126.9,128.0,126.5,127.4
1516451400000,127.4001,127.899,126.82,127.3
1516453200000,127.01,128.2,127.01,127.79
1516455000000,128.0,128.5,127.02,127.2
1516456800000,127.2,128.2,127.0,127.6001
